Change,Charge,Unbalanced Atoms,Rxn Eq. Before,Rxn Eq. After,Metabolite Changes,Reaction Parts Before (May be missing some),Source,Support ,Analogous Rxn,Reaction Balanced Fully?,Initial,Date,From? *mass balanced (not charge/matches model seed)
Gnya gene,,,,,,,DYP[Fig5],,,,TRL,June 14,DunphyYenPapin
scoA and scoB,,,,,,,DYP,,,,,,DunphyYenPapin
folD and rpiA were not present in the PA14,,,,,,,Dun,,,,,,Dunphy 2016
pyoverdine,,,,,,,Dun,,,,,,Dunphy 2016
pvdA gene,,,,,,,Dun,,,,,,Dunphy 2016
hom gene,,,,,,,Dun,,,,,,Dunphy 2016
gapA gene/glyceraldehyde-3-phosphate,,,,,,,Dun,,,,,,Dunphy 2016
Tob-resist nuoL mechanism - enhanced growth on N-acetyl-D-glucosamine,,,,,,,DYP[pg14],,,,,,DunphyYenPapin
aminoglycoside tolerance (mutations),,,,,,,"DYP6,7,8,45,46,47,48",,,,,,DunphyYenPapin
bacA,,,,,,,DYP[Fig5],,,,,,DunphyYenPapin
glgA,,,,,,,DYP[Fig5],,,,,,DunphyYenPapin
gnyA,,,,,,,DYP[Fig5],,,,,,DunphyYenPapin
Formula for cpd00080[c] is incorrect. should be C2H7O6P,,,,,,,,,,,TRL,June 21,Model/Modelseed
Charge on FAD different from modelseed see: rxn00616 balanced on modelseed but unbalanced in model (even after correcting cpd00080[c],,,,,,,,,,,TRL,June 21,Model/Modelseed
"cpd00146[c] does not match modelseed,  change to         CH2NO5P",,,,,,,,,,,TRL,June 21,Model/Modelseed
rxn02889,,,,,,,KEGG rxn: https://www.genome.jp/dbget-bin/get_linkdb?-t+7+pau:PA14_38480,reactions are similar but do not match,,,,,Model/KEGG
,,,,,,,,,,,,,
NOTE:,,Fatty acid biosynthesis subsytem has many mass imbalances because of PRS and acyl carrier protein reactions differ between KEGG and metacyc/biocyc,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,"Please look at ""Rxn Eq. After"" to see what recommended changes are. ""Metabolite Changes"" can be formula or charge changes.",,,,,READ ME ,,
,,,,,,,,,,,,,
