DATE,REASON FOR CHANGE,Abbreviation,Name,Reaction,Reactions with MetNames,GPR,Genes,Protein,Subsystems,Reversible,Lower bound,Upper bound,Objective,Confidence Score,EC. Number,Notes,References,INITIAL,Databases Checked,
June 14,No associated gene,rxn00868,acyl-CoA dehydrogenase (butanoyl-CoA),cpd00003[c] + cpd00120[c] -> cpd00004[c] + cpd00067[c] + cpd00650[c],NAD + Butyryl-CoA -> NADH + H+ + Crotonyl-CoA,,https://www.genome.jp/dbget-bin/www_bget?pau:PA14_25900 - https://www.genome.jp/dbget-bin/www_bget?pau:PA14_66350,trans-2-enoyl-CoA reductase - butyryl-CoA dehydrogenase,Butanoate metabolism,0,0,1000,0,,"1.3.1.44,1.3.99.2, 1.3.8.1",*JAB 01/28/14 - reaction bounds appeared to be set opposite formula directionality - *JJ 06/14/18 https://www.genome.jp/dbget-bin/www_bget?pau:PA14_25900 - *JJ 06/14/18 Found that 1.3.99.2 was rewritten as 1.3.8.1 ,,JJ,KEGG,
June 14,No associated gene,rxn10074,fatty acid oxidation (Butanoyl-CoA ),cpd00001[c] + cpd00003[c] + cpd00120[c] + cpd00015[c] <=> cpd00004[c] + cpd00067[c] + cpd00279[c] + cpd00982[c],H2O + NAD + Butyryl-CoA + FAD <=> NADH + H+ + Acetoacetyl-CoA + FADH2,,NA,,None,1,-1000,1000,0,,,,,JJ,KEGG,
June 14,No associated gene,rxn01729,glutarate-semialdehyde dehydrogenase,cpd00001[c] + cpd00003[c] + cpd02089[c] -> cpd00004[c] + 2 cpd00067[c] + cpd00379[c],H2O + NAD + 5-Oxopentanoate -> NADH + 2 H+ + Glutarate,, ,1.2.1.16,Lysine degradation,0,0,1000,0,,1.2.1.20/1.2.1.16,"*JJ 06/14/2018 Found this enzyme and showed strong homology(99.45%), but gene was labeled for a different function",http://pseudomonas.com/feature/show?locus_tag=PA14_03430,JJ,KEGG/PGD,
June 14,No associated gene for pseudomonas in KEGG,rxn01068,L-threonine dehydrogenase (w/ AOBUTDs),cpd00003[c] + cpd00161[c] <=> cpd00004[c] + cpd00067[c] + cpd02211[c],NAD + L-Threonine <=> NADH + H+ + L-2-Amino-acetoacetate,, ,,"Glycine, serine and threonine metabolism",1,-1000,1000,0,,1.1.1.103,*JJ 06/14/2018 Was not able to find any p. aeroginosa strains with this gene,http://pseudomonas.com/feature/list?filterByOrganism=pseudomonas&v1=L-threonine+dehydrogenase&c1=name&v2=&c2=&v3=&c3=&v4=&c4=&assembly=complete&e1=1&e2=0&e3=0&e4=0&curated=false&o1=AND&o2=AND&o3=AND&max=20&sort=priority&offset=0&order=desc&vStr=1&vAss=1&vType=1&vRep=1&vLt=1&vRefSeq=0&vUparc=0&vUr100=0&vUr90=0&vUr50=0&vNlt=0&vNolt=0&vCoor=1&vGl=1&vGn=1&vDesc=1&vPi=0&vMw=0&vCh7=0&vPnc=0&vGi=0&vUpAcc=0&vUpId=0&vAffy=0&replicon_ids=&localizations=&lc=&ref=list&locus_tag=BLU14_RS15400&act=add,JJ,KEGG/PGD,
June 14,No associated gene,rxn01314,"NADPH:6,7-dihydropteridine oxidoreductase",cpd00067[c] + cpd00005[c] + cpd00231[c] <=> cpd00006[c] + cpd00233[c],H+ + NADPH + Dihydrobiopterin <=> NADP + Tetrahydrobiopterin,,AZ623_RS10475,nitroreductase,Folate biosynthesis,1,-1000,1000,0,,1.5.1.34,"*JJ 06/14/2018 Could not find anything with P. Aeroginosa, so took a sequence from putida W619 and compared the homology to protein sequence in PA14 (24.5% the same)",http://pseudomonas.com/feature/show?locus_tag=AZ623_RS10475 --- https://www.ncbi.nlm.nih.gov/pubmed/8429,JJ,KEGG/PGD,
June 14,No associated gene,rxn05039,pyrimidine phosphatase,cpd00001[c] + cpd02720[c] -> cpd00067[c] + cpd00009[c] + cpd02882[c],H2O + 5-Amino-6--5-phosphoribitylaminouracil -> H+ + Phosphate + 4--1-D-Ribitylamino-5-aminouracil,,NA,,Riboflavin metabolism,0,0,1000,0,,3.1.3.104,"*JAB 09/25/14 - while fixing subsystem, noticed very erroneous GPR assignment, removed PA1376 with no replacement -- *JJ 06/14/2018, this enzyme attached 3.1.3.104 catalyzes a slightly different reaction",,JJ,BiGG/KEGG/PGD,
June 14,No associated gene,rPY00182,Cyclopropanation Cardiolipin(n-C19:0cyc),cpd00017[c] + 2 cPY00141[c] -> 2 cpd00067[c] + cPY00140[c],S-Adenosyl-L-methionine + 2 clpn180181 -> 2 H+ + clpn190cyc,,"speD, https://www.genome.jp/dbget-bin/www_bget?pau:PA14_63110",,Glycerolipid synthesis,0,0,1000,0,,4.1.1.50,*PY 04/15/14 Added for the biomass production of clpn190cyc. Taken from Burk. The following is the comment from Burk: IR10573 in iKF used BCAM2082 but assignment is dubious so kept unassigned here. *JJ 06/14/2018 found two different genes for the UCBPP-PA14 isolate; added them here. One (speD) and the other a link https://www.genome.jp/dbget-bin/www_bget?pau:PA14_63110,,JJ,KEGG,
June 14,No associated gene,rxn13868,L-rhamnotransferase,2 cpd02113[c] + cpd17061[c] -> 2 cpd00297[c] + cpd17062[c],2 dTDP-rhamnose + PA_core4_lipidA -> 2 dTDP + PA_core5_lipidA,,NA,,Lipopolysaccharide biosynthesis,0,0,1000,0,,,"*PY 04/23/14 Added for LPS antigen B-band synthesis (virulence factor). Taken from SEED master list, which was converted from iMO1056. *JJ 06/14/2018, not effective in finding anything on this one",,JJ,KEGG/PGD/BiGG,
June 14,No associated gene,rPY00219,maturation of pyoverdine I,cPY00163[c] + cpd00007[c] -> cpd00001[c] + cPY00164[c],ferribactin + O2 -> H2O + pyoverdine,PA14_33690,PA14_33690,,Biosynthesis of siderophore group nonribosomal peptides,0,0,1000,0,,1.14.13.-,"*JAB 01/20/15 - added gene; PY 04/17/14 Added for pyoverdine I synthesis (virulence factor). Implemented from Metacyc (http://www.metacyc.org/META/NEW-IMAGE?type=PATHWAY&object=PWY-6409&detail-level=2&detail-level=3#). Currently, the final maturation step of pyoverdine is unknown. It is however known to take place in the periplasmic space. For more details, see the Metacyc link. *JJ 06/14/2018 took a look at the link, the reaction isn't correct as written. *JJ 06/14/2018 Added general EC number",,JJ,Metacyc/PGD/BiGG/KEGG,
June 14,No associated gene,rxn13876,Pseudomonas aeruginosa LPS A-band synthesis,cpd17065[c] + cpd17088[c] -> cpd02229[c] + cpd17056[c],Pseudomonas aeruginosa LPS core + KDO2-lipidA + rha4glcnacppund -> Bactoprenyl diphosphate + Pseudomonas aeruginosa A-band lipopolysaccharide,,NA,,Lipopolysaccharide biosynthesis,0,0,1000,0,,,*PY 04/24/14 Added for LPS antigen A-band synthesis (virulence factor). Taken from SEED master list. Cross-checked from iMO1056. *JJ 06/14/2018 efflux transorter gene found in KEGG https://www.genome.jp/dbget-bin/www_bfind_sub?mode=bfind&max_hit=1000&locale=en&serv=gn&dbkey=alldb&keywords=LPS+A-band&page=1,,JJ,Metacyc/PGD/BiGG/KEGG,
